CampusE,Faculty Type_Chair,Faculty Type_FA,TitleE,Join Year,Join Month,Join Weekday,In Service Yes/No,Reports ToE,Highest Qualification LevelE,MajorE,UniversityE,Double DegreesE,Number of Qualifications,No Of Courses Taught,Professional Experience Years,Teaching Experience Years,CriteriaE
0.01767,0,1,0.90106,2010,8,6,1,0.07774,0.5942,14,0,0,3,4,20,8,4
0.01767,0,1,0.90106,1999,8,3,1,0.07774,0.5942,14,8,0,3,4,7,17,0
0.01767,0,1,0.90106,2007,4,6,1,0.07774,0.5942,12,8,0,5,2,3,15,4
0.01767,0,1,0.90106,2016,8,6,1,0.07774,0.3587,14,8,0,2,1,6,6,5
0.01767,1,0,0.90106,2016,8,6,1,0.0106,0.3587,14,8,0,2,1,1,24,6
0.07067,0,1,0.90106,2015,8,0,1,0.07774,0.3587,3,10,0,2,4,0,0,4
0.07067,0,1,0.00707,2015,3,6,1,0.07774,0.5942,14,8,0,5,4,0,0,4
0.07067,0,1,0.90106,2011,8,6,1,0.07774,0.3587,1,8,0,4,4,0,11,4
0.07067,0,1,0.90106,2014,2,6,1,0.07774,0.5942,1,11,0,3,3,10,7,4
0.07067,0,1,0.90106,2011,3,6,1,0.07774,0.0471,14,8,0,2,1,0,0,4
0.07067,0,1,0.90106,2014,11,2,1,0.07774,0.5942,14,14,0,1,2,0,18,4
0.07067,0,1,0.90106,2015,9,6,1,0.07774,0.3587,13,8,0,0,2,0,0,4
0.07067,0,1,0.90106,2014,8,6,1,0.07774,0.3587,14,8,0,3,2,0,0,4
0.07067,0,1,0.90106,2013,8,6,1,0.07774,0.5942,3,8,0,2,3,9,0,4
0.07067,0,1,0.90106,2012,8,6,1,0.07774,0.5942,14,8,0,2,2,8,0,4
0.07067,0,1,0.90106,1997,8,3,1,0.07774,0.5942,14,8,0,4,3,0,17,4
0.07067,0,1,0.90106,2011,2,2,1,0.07774,0.5942,1,8,0,1,3,16,20,4
0.07067,0,1,0.90106,2014,9,6,1,0.07774,0.3587,6,8,0,3,4,15,0,5
0.07067,0,1,0.90106,2012,8,6,1,0.07774,0.5942,14,8,0,1,3,0,15,4
0.07067,0,1,0.90106,2014,10,6,1,0.07774,0.3587,8,8,0,2,3,0,0,4
0.07067,0,1,0.0318,2015,8,6,0,0.08481,0.5942,9,8,0,4,0,0,0,4
0.07067,0,1,0.90106,2015,8,6,1,0.08481,0.5942,9,8,0,3,0,0,0,4
0.07067,0,1,0.90106,2016,8,6,1,0.07774,0.3587,14,8,0,2,1,9,17,4
0.07067,0,1,0.90106,2016,8,6,1,0.07774,0.3587,8,8,0,2,1,3,12,4
0.11661,0,1,0.90106,2014,4,1,1,0.11661,0.5942,14,8,0,3,3,28,26,4
0.11661,0,1,0.90106,2014,9,0,1,0.11661,0.5942,14,8,0,3,3,0,9,0
0.11661,0,1,0.90106,2014,8,6,1,0.11661,0.5942,9,8,0,2,3,0,0,4
0.11661,0,1,0.90106,2014,9,6,1,0.11661,0.3587,14,8,0,5,4,0,15,4
0.11661,0,1,0.90106,2015,1,6,1,0.11661,0.5942,14,9,0,3,3,0,0,4
0.11661,0,1,0.90106,2013,11,0,1,0.11661,0.5942,10,20,0,4,4,0,7,4
0.11661,0,1,0.90106,2012,3,6,1,0.11661,0.5942,3,8,0,3,3,0,0,4
0.11661,0,1,0.90106,2012,8,6,1,0.11661,0.5942,14,8,0,3,5,0,9,4
0.11661,0,1,0.90106,2012,8,6,1,0.11661,0.3587,5,8,0,4,3,0,14,4
0.11661,0,1,0.00707,2014,4,6,1,0.11661,0.5942,4,8,0,2,2,0,10,4
0.11661,0,1,0.90106,2014,6,6,1,0.11661,0.5942,11,8,0,3,2,0,25,4
0.11661,0,1,0.90106,2011,1,6,1,0.11661,0.5942,14,8,0,2,4,0,17,4
0.11661,0,1,0.90106,2012,9,2,1,0.11661,0.5942,14,8,0,2,3,20,11,4
0.11661,0,1,0.90106,2011,9,3,1,0.11661,0.3587,14,8,0,4,5,0,0,4
0.11661,0,1,0.90106,2013,11,0,1,0.11661,0.5942,14,20,0,2,3,0,24,4
0.11661,0,1,0.90106,2010,8,6,1,0.11661,0.3587,14,8,0,3,4,0,12,4
0.11661,0,1,0.90106,1998,8,1,0,0.11661,0.5942,3,8,0,3,3,0,25,0
0.11661,0,1,0.90106,2014,8,3,1,0.11661,0.5942,14,8,0,4,4,0,21,4
0.11661,0,1,0.90106,2014,4,1,1,0.11661,0.5942,3,8,0,2,3,0,0,4
0.11661,0,1,0.90106,2013,8,6,1,0.11661,0.3587,4,8,0,4,5,0,11,4
0.11661,0,1,0.90106,2002,9,0,1,0.11661,0.3587,12,8,0,4,6,3,23,4
0.11661,0,1,0.90106,2014,8,6,1,0.11661,0.5942,14,8,0,3,6,0,6,4
0.11661,0,1,0.90106,1995,8,0,1,0.11661,0.5942,14,8,0,2,0,0,29,0
0.11661,0,1,0.90106,2015,2,2,1,0.11661,0.5942,14,8,0,5,4,0,0,4
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,5,9,4
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,5,15,5
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,5,8,5
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,11,8,0,2,1,12,9,4
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,0,7,5
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,8,5,4
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,10,5,4
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,1,1,14,20,1
0.11661,0,1,0.90106,2016,8,6,1,0.11661,0.3587,14,8,0,2,1,8,10,5
0.17314,0,1,0.90106,2015,1,0,1,0.07774,0.5942,14,8,0,1,5,0,0,4
0.17314,0,1,0.90106,2015,3,6,1,0.07774,0.5942,15,8,0,2,4,0,0,4
0.17314,0,1,0.90106,2012,8,6,1,0.07774,0.5942,3,8,0,2,5,0,0,4
0.17314,0,1,0.90106,2015,1,0,1,0.07774,0.5942,3,17,0,2,3,0,0,4
0.17314,0,1,0.90106,2014,8,6,1,0.07774,0.5942,14,18,0,1,2,0,0,4
0.17314,0,1,0.90106,2014,8,6,1,0.07774,0.5942,3,8,0,2,5,0,0,4
0.17314,0,1,0.90106,2013,8,6,1,0.07774,0.5942,14,16,0,4,2,0,0,4
0.17314,0,1,0.90106,2014,8,6,1,0.07774,0.5942,3,8,0,1,4,0,0,4
0.17314,0,1,0.90106,2015,2,6,1,0.07774,0.5942,1,8,0,2,2,0,0,4
0.17314,0,1,0.90106,2011,1,6,1,0.07774,0.5942,14,20,0,1,3,9,15,4
0.17314,0,1,0.90106,2014,9,6,1,0.07774,0.5942,15,8,0,2,5,0,0,4
0.17314,0,1,0.90106,2015,1,6,1,0.07774,0.3587,14,8,0,4,4,0,0,4
0.17314,0,1,0.90106,2012,8,6,1,0.07774,0.3587,9,8,0,2,6,3,10,4
0.17314,0,1,0.0318,2015,8,6,0,0.07774,0.5942,14,8,0,2,1,0,0,4
0.17314,0,1,0.90106,2015,2,6,1,0.07774,0.5942,3,8,0,3,5,0,0,4
0.17314,0,1,0.90106,2011,8,6,1,0.07774,0.3587,1,19,0,4,4,3,8,4
0.17314,0,1,0.90106,2015,9,6,1,0.07774,0.3587,13,8,0,0,2,0,0,4
0.17314,0,1,0.90106,2011,8,6,1,0.07774,0.5942,12,11,0,2,4,7,12,4
0.17314,0,1,0.90106,2013,8,6,1,0.07774,0.3587,1,8,0,3,4,1,0,4
0.17314,0,1,0.90106,2010,10,6,1,0.07774,0.5942,14,19,0,8,3,9,7,4
0.17314,0,1,0.90106,2012,8,6,1,0.07774,0.3587,14,8,0,4,4,0,0,4
0.17314,0,1,0.90106,2008,8,6,1,0.07774,0.5942,11,8,0,3,3,0,0,4
0.17314,0,1,0.90106,2013,2,6,1,0.08481,0.5942,11,8,0,1,2,0,8,0
0.17314,0,1,0.90106,2014,9,3,1,0.08481,0.5942,3,8,0,2,4,20,4,4
0.17314,0,1,0.90106,2012,8,6,1,0.08481,0.5942,14,8,0,3,2,12,8,0
0.17314,0,1,0.90106,2014,9,6,1,0.08481,0.5942,14,8,0,4,4,0,9,4
0.17314,0,1,0.90106,1999,8,3,1,0.08481,0.5942,3,4,0,2,4,0,34,4
0.17314,0,1,0.90106,2009,8,2,1,0.08481,0.5942,3,8,0,2,3,2,14,4
0.17314,0,1,0.90106,2015,2,6,1,0.08481,0.5942,3,8,0,3,2,10,16,4
0.17314,0,1,0.90106,2009,8,6,1,0.08481,0.5942,14,8,0,3,3,18,15,0
0.17314,0,1,0.04947,2014,8,6,1,0.08481,0.5942,3,8,0,1,1,0,0,4
0.17314,0,1,0.90106,2011,8,6,1,0.08481,0.5942,10,8,0,1,3,9,7,0
0.17314,0,1,0.90106,1989,8,5,1,0.08481,0.5942,12,13,0,2,4,5,24,0
0.17314,0,1,0.90106,1993,8,5,1,0.08481,0.5942,12,13,0,2,4,2,21,0
0.17314,0,1,0.90106,2012,8,6,1,0.08481,0.5942,14,8,0,3,5,1,14,4
0.17314,0,1,0.90106,2010,10,6,1,0.08481,0.3587,6,7,0,2,6,5,13,4
0.17314,0,1,0.90106,2014,2,6,1,0.08481,0.5942,14,8,0,3,5,9,12,4
0.17314,0,1,0.90106,2009,8,6,1,0.08481,0.5942,0,8,0,3,5,15,12,4
0.17314,0,1,0.90106,2015,2,6,1,0.08481,0.5942,11,8,0,3,3,0,0,4
0.17314,0,1,0.90106,2015,8,6,1,0.08481,0.3587,14,8,0,6,4,0,0,4
0.17314,0,1,0.90106,2010,8,1,1,0.08481,0.5942,0,8,0,2,0,0,0,4
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,2,0,3
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,0,0,4
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,3,20,4
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,6,24,5
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,12,30,0
0.17314,0,1,0.90106,2016,8,6,1,0.02473,0.3587,14,8,0,2,1,0,0,1
0.00707,0,1,0.90106,2015,8,6,1,0.08481,0.5942,13,19,0,0,0,0,0,4
0.00707,0,1,0.90106,1995,8,0,1,0.08481,0.5942,14,8,0,2,2,0,20,0
0.07774,0,1,0.90106,2012,8,6,1,0.08127,0.3587,14,8,0,4,5,0,0,4
0.07774,0,1,0.90106,2012,10,0,1,0.08127,0.3587,11,8,0,2,3,0,0,0
0.07774,0,1,0.90106,2013,8,2,1,0.08127,0.5942,6,8,0,2,2,0,0,4
0.07774,0,1,0.90106,2015,8,6,1,0.08127,0.5942,3,8,0,3,4,0,0,4
0.07774,0,1,0.90106,2012,9,6,1,0.08127,0.5942,14,8,0,3,3,0,17,0
0.07774,0,1,0.90106,2003,1,4,1,0.08127,0.5942,14,8,0,3,2,33,0,0
0.07774,0,1,0.90106,2002,7,5,1,0.08127,0.5942,14,13,0,6,2,5,0,4
0.07774,0,1,0.90106,2006,8,5,1,0.08127,0.5942,14,8,0,3,5,20,20,4
0.07774,0,1,0.90106,2014,9,0,1,0.08127,0.3587,4,8,0,3,4,0,0,0
0.07774,0,1,0.90106,2012,10,2,1,0.08127,0.5942,14,8,0,3,4,0,0,0
0.07774,0,1,0.90106,2013,8,2,1,0.08127,0.5942,3,8,0,1,3,5,0,0
0.07774,0,1,0.90106,2012,8,6,1,0.08127,0.5942,11,8,0,3,4,16,5,4
0.07774,0,1,0.90106,1992,1,5,1,0.08127,0.5942,10,20,0,2,1,19,0,0
0.07774,0,1,0.90106,2015,1,0,1,0.08127,0.3587,11,8,0,4,1,0,0,4
0.07774,0,1,0.90106,1996,8,6,1,0.08127,0.5942,14,8,0,3,1,0,0,4
0.07774,0,1,0.90106,2014,8,6,1,0.08127,0.5942,3,0,0,2,5,0,0,4
0.07774,0,1,0.90106,2014,8,1,1,0.08127,0.5942,14,8,0,2,2,4,0,4
0.07774,0,1,0.90106,2011,1,6,1,0.08127,0.3587,14,8,0,3,5,0,0,4
0.07774,0,1,0.90106,2004,8,4,1,0.08127,0.5942,10,8,0,3,2,0,0,0
